no,gender,age,height,weight,bmi,griffith,sensitivity,environment,thermal sensation,thermal comfort,thermal preference,room,seat,season,date,time,ta,hr
3,0,26,167,52,0,1.7,0,1,0,1,2,224,1,summer,2019/7/18,10:31:00,25.1,66.53
3,0,26,167,52,0,1.7,0,1,0.5,1,2,224,1,summer,2019/7/18,11:01:00,26.1,64.8
3,0,26,167,52,0,1.7,0,1,0,1,2,224,1,summer,2019/7/18,11:31:00,26.6,62.27
3,0,26,167,52,0,1.7,0,1,0,1,2,224,1,summer,2019/7/18,12:01:00,26.8,61
3,0,26,167,52,0,1.7,0,1,-0.5,1,2,224,1,summer,2019/7/18,14:29:00,23.8,56.56
3,0,26,167,52,0,1.7,0,1,-0.5,1,3,224,1,summer,2019/7/18,15:00:00,24.3,59.22
3,0,26,167,52,0,1.7,0,1,-0.5,1,3,224,1,summer,2019/7/18,15:30:00,24.3,60.74
3,0,26,167,52,0,1.7,0,1,0,1,2,224,3,summer,2019/7/24,16:29:00,22.9,57.08
3,0,26,167,52,0,1.7,0,1,-0.5,1,2,224,3,summer,2019/7/24,15:59:00,23,56.65
3,0,26,167,52,0,1.7,0,1,-1,2,3,217,1,summer,2019/7/26,9:01:00,22.7,57.72
3,0,26,167,52,0,1.7,0,1,-0.5,1,2,224,3,summer,2019/7/24,17:00:00,22.9,57.14
3,0,26,167,52,0,1.7,2,1,0,1,3,202,5,summer,2019/7/30,9:30:00,25.2,57.46
3,0,26,167,52,0,1.7,2,1,0,1,1,224,4,summer,2019/7/29,11:27:00,25.2,57.46
3,0,26,167,52,0,1.7,2,1,0,1,1,224,4,summer,2019/7/29,11:46:00,25.2,57.46
3,0,26,167,52,0,1.7,2,1,0,1,3,224,4,summer,2019/7/29,12:06:00,25.2,57.46
3,0,26,167,52,0,1.7,2,1,0,1,3,224,4,summer,2019/7/29,14:29:00,25.2,57.46
3,0,26,167,52,0,1.7,2,1,0,1,3,224,4,summer,2019/7/29,15:02:00,25.2,57.46
